internalId,externalId,price,name
8666,0,1250,Italia Presecco Bottle
8667,0,1260,Italia Presecco Bottle
8668,0,1270,Italia Presecco Bottle
8669,0,1280,Italia Presecco Bottle
8670,0,1290,Italia Presecco Bottle
8671,0,1300,Italia Presecco Bottle
8672,0,1310,Italia Presecco Bottle
8673,0,1320,Italia Presecco Bottle
8674,0,1330,Italia Presecco Bottle
8675,0,1340,Italia Presecco Bottle
8676,0,1350,Italia Presecco Bottle
8677,0,1360,Italia Presecco Bottle
8678,0,1370,Italia Presecco Bottle
8679,0,1380,Italia Presecco Bottle
8680,0,1390,Italia Presecco Bottle
8681,0,1400,Italia Presecco Bottle
8682,0,1410,Italia Presecco Bottle
8683,0,1420,Italia Presecco Bottle
8684,0,1430,Italia Presecco Bottle
8685,0,1440,Italia Presecco Bottle
8686,0,1450,Italia Presecco Bottle
8687,0,1460,Italia Presecco Bottle
8688,0,1470,Italia Presecco Bottle
8689,0,1480,Italia Presecco Bottle
8690,0,1490,Italia Presecco Bottle
8691,0,1500,Italia Presecco Bottle
8692,0,1510,Italia Presecco Bottle
8693,0,1520,Italia Presecco Bottle
8694,0,1530,Italia Presecco Bottle
8695,0,1540,Italia Presecco Bottle
8696,0,1550,Italia Presecco Bottle
8697,0,1560,Italia Presecco Bottle
8698,0,1570,Italia Presecco Bottle
8699,0,1580,Italia Presecco Bottle
8700,0,1590,Italia Presecco Bottle
8701,0,1600,Italia Presecco Bottle
8702,0,1610,Italia Presecco Bottle
8703,0,1620,Italia Presecco Bottle
8704,0,1630,Italia Presecco Bottle
8705,0,1640,Italia Presecco Bottle
8706,0,1650,Italia Presecco Bottle
8707,0,1660,Italia Presecco Bottle
8708,0,1670,Italia Presecco Bottle
8709,0,1680,Italia Presecco Bottle
8710,0,1690,Italia Presecco Bottle
8711,0,1700,Italia Presecco Bottle
8712,0,1710,Italia Presecco Bottle
8713,0,1720,Italia Presecco Bottle
8714,0,1730,Italia Presecco Bottle
8715,0,1740,Italia Presecco Bottle
8716,0,1750,Italia Presecco Bottle
8717,0,1760,Italia Presecco Bottle
8718,0,1770,Italia Presecco Bottle
8719,0,1780,Italia Presecco Bottle
8720,0,1790,Italia Presecco Bottle
8721,0,1800,Italia Presecco Bottle
8722,0,1810,Italia Presecco Bottle
8723,0,1820,Italia Presecco Bottle
8724,0,1830,Italia Presecco Bottle
8725,0,1840,Italia Presecco Bottle
8726,0,1850,Italia Presecco Bottle
8727,0,1860,Italia Presecco Bottle
8728,0,1870,Italia Presecco Bottle
8729,0,1880,Italia Presecco Bottle
8730,0,1890,Italia Presecco Bottle
8731,0,1900,Italia Presecco Bottle
